Asunto,Mensaje,Urgencia
"Reunión urgente con el cliente,""Necesitamos discutir el proyecto hoy a las 3 PM."",""Urgente"""
"Recordatorio de la reunión,""Este es un recordatorio de la reunión de mañana a las 10 AM."",""Medio"""
"Informe de ventas del trimestre,""Adjunto el informe de ventas del trimestre pasado. Por favor, revísalo cuando puedas."",""Poco Urgente"""
"Problemas técnicos en el servidor,""El servidor está experimentando problemas. Necesitamos resolverlo de inmediato."",""Urgente"""
"Encuesta de satisfacción,""Por favor, completa la encuesta de satisfacción que enviamos la semana pasada."",""Poco Urgente"""
"Cambio de fecha para la entrega del proyecto,""La fecha de entrega del proyecto ha cambiado a la próxima semana. Por favor, ajusta tu calendario."",""Medio"""
"Urgente: Revisión del contrato,""Necesito que revises el contrato adjunto antes de firmarlo."",""Urgente"""
"Actualización del estado del proyecto,""El estado del proyecto está actualizado. Por favor, consulta el documento adjunto."",""Medio"""
"Consulta sobre el pago,""Estoy consultando sobre el estado de un pago pendiente."",""Medio"""
"Recordatorio: pago de factura,""No olvides el pago de la factura que vence el viernes."",""Urgente"""
"Planificación del evento,""Estamos planificando el evento de fin de año. Más detalles pronto."",""Poco Urgente"""
"Problema de seguridad,""Se ha detectado un problema de seguridad que necesita atención inmediata."",""Urgente"""
"Vacaciones programadas,""Recuerda que estoy de vacaciones la próxima semana y no estaré disponible."",""Poco Urgente"""
"Revisión de documentos,""Necesito que revises los documentos antes del viernes."",""Medio"""
"Solicito confirmación de asistencia,""Por favor, confirma tu asistencia a la reunión de mañana."",""Urgente"""
"Promoción de productos,""Consulta nuestra nueva promoción de productos en la tienda."",""Poco Urgente"""
"Reunión de emergencia,""Hay una reunión de emergencia programada para hoy a las 4 PM. Asistencia obligatoria."",""Urgente"""
"Actualización de la política de trabajo,""Por favor, revisa la actualización de nuestra política de trabajo a distancia."",""Medio"""
"Propuesta de colaboración,""Estamos interesados en una colaboración potencial. ¿Podemos discutirlo la próxima semana?"",""Medio"""
"Problemas con el sistema,""El sistema se ha caído y necesita atención inmediata para evitar problemas mayores."",""Urgente"""
"Recordatorio de entrega,""Este es un recordatorio para la entrega de tu informe el lunes."",""Medio"""
"Invitación a la conferencia,""Te invito a la conferencia sobre innovación tecnológica. Más detalles en el enlace."",""Poco Urgente"""
