urgencia	asunto	texto
Urgente	Cita médica urgente	Estimado paciente, le recordamos que tiene una cita médica programada para mañana a las 10:00 AM. Es importante que asista.
Urgente	Pago inmediato requerido	Por favor, realice el pago de la factura adjunta antes del final del día para evitar cargos adicionales.
Medio	Solicitud de informe	Estimado equipo, por favor, envíenme el informe de ventas de este mes para revisarlo antes de la reunión.
Medio	Confirmación de reunión	Este es un recordatorio para confirmar nuestra reunión el jueves a las 3:00 PM. ¿Sigue disponible?
Poco Urgente	Cumpleaños de Juan	¡Hola a todos! No olviden que el cumpleaños de Juan es este viernes. ¡Hagamos una pequeña celebración!
Poco Urgente	Reunión de seguimiento	Quiero programar una reunión de seguimiento para discutir el progreso del proyecto. ¿Qué días tienen libres la próxima semana?
Urgente	Accidente de tráfico	Atención: ha habido un accidente de tráfico en la autopista. Se requiere asistencia inmediata.
Medio	Actualización de proyecto	Hola, solo quería informarles que hemos avanzado en el proyecto y deberíamos estar listos para la revisión la próxima semana.
Poco Urgente	Planificación de vacaciones	Quisiera discutir la planificación de nuestras vacaciones. Podemos hablar sobre esto en la próxima reunión.
Urgente	Resultados de la prueba	Los resultados de su prueba están disponibles. Por favor, contáctenos inmediatamente para discutirlos.
Urgente	Reunión urgente con el cliente	Necesitamos discutir el proyecto hoy a las 3 PM.
Medio	Planificación de tareas	Planifiquemos las tareas para el próximo mes en nuestra próxima reunión.
Poco Urgente	Notificación de cambio de horario	El horario de la reunión ha cambiado, revisa el calendario.
Urgente	Revisión del contrato	Necesito que revises el contrato adjunto antes de firmarlo.
Medio	Actualización del estado del proyecto	El estado del proyecto está actualizado. Por favor, consulta el documento adjunto.
Medio	Consulta sobre el pago	Estoy consultando sobre el estado de un pago pendiente.
Urgente	Recordatorio: pago de factura	No olvides el pago de la factura que vence el viernes.
Poco Urgente	Planificación del evento	Estamos planificando el evento de fin de año. Más detalles pronto.
Urgente	Problema de seguridad	Se ha detectado un problema de seguridad que necesita atención inmediata.
Poco Urgente	Vacaciones programadas	Recuerda que estoy de vacaciones la próxima semana y no estaré disponible.
Medio	Revisión de documentos	Necesito que revises los documentos antes del viernes.
Urgente	Solicito confirmación de asistencia	Por favor, confirma tu asistencia a la reunión de mañana.
Poco Urgente	Promoción de productos	Consulta nuestra nueva promoción de productos en la tienda.
Urgente	Reunión de emergencia	Hay una reunión de emergencia programada para hoy a las 4 PM. Asistencia obligatoria.
Medio	Actualización de la política de trabajo	Por favor, revisa la actualización de nuestra política de trabajo a distancia.
Medio	Propuesta de colaboración	Estamos interesados en una colaboración potencial. ¿Podemos discutirlo la próxima semana?
Urgente	Problemas con el sistema	El sistema se ha caído y necesita atención inmediata para evitar problemas mayores.
Medio	Recordatorio de entrega	Este es un recordatorio para la entrega de tu informe el lunes.
Poco Urgente	Invitación a la conferencia	Te invito a la conferencia sobre innovación tecnológica. Más detalles en el enlace.
Medio	Solicito tu opinión	Me gustaría saber tu opinión sobre la propuesta que envié anteriormente.
Urgente	Acción requerida: Contraseña	Por favor, actualiza tu contraseña antes de que finalice la semana.
Urgente	Reunión urgente con el cliente	Necesitamos discutir el proyecto hoy a las 3 PM.
Medio	Planificación de tareas	Planifiquemos las tareas para el próximo mes en nuestra próxima reunión.
Poco Urgente	Notificación de cambio de horario	El horario de la reunión ha cambiado, revisa el calendario.
